Gender,Age Group,Field of Occupation,Social Media Platforms,Time Spent on Social Media,Devices Used,Preferred Medium,Logged in Frequency,Social Media Use in Office,Routine at Work,Importance to Daily Worklife,Addicted to Social Media,Distraction at Work,Activities on Social Media,Impact on Goals,Impact on general Output
Male,25 - 44,Employed,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",facebook,Occasionally,Yes,No,Yes,No,No,Check Newsfeed ,Yes,Partly
Male,45 - 64,Employed,2,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Occasionally,Yes,No,No,Prefer not to say,No,Chat,Yes,Others
Male,25 - 44,Freelancer,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",facebook,Never,Yes,No,No,Yes,Prefer not to say,"Check Newsfeed,Play games,Others",Yes,Greatly
Female,15 - 24,Unemployed,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",Others,Occasionally,Yes,No,No,No,Yes,Chat,No,Partly
Female,25 - 44,Employed,2,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)","Facebook,Others",Frequently,Yes,Yes,Yes,No,No,"Check Newsfeed,Chat,Play games",Yes,Greatly
Female,25 - 44,Employed,2,Less than 1 hour,"Smart phones (Android,iOS,etc)","facebook,Others",Frequently,Yes,Yes,Yes,No,No,Check Newsfeed ,Yes,Greatly
Female,25 - 44,Employed,2,2 Hours and above,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,Yes,Yes,No,Yes,"Check Newsfeed,Chat,Play games,Others",Yes,Greatly
Male,45 - 64,Employed,1,Less than 1 hour,"Smart phones (Android,iOS,etc)",Twitter,Frequently,No,Yes,Yes,Prefer not to say,No,"Check Newsfeed,Chat",Yes,Greatly
Female,25 - 44,Employed,1,2 Hours and above,"Smart phones (Android,iOS,etc),Laptops,Others",Facebook,Frequently,Yes,Yes,Yes,Prefer not to say,No,Check Newsfeed ,Yes,Greatly
Female,25 - 44,Employed,1,Less than 1 hour,"Smart phones (Android,iOS,etc),Laptops,Others",Facebook,Occasionally,Yes,No,Yes,No,No,Chat,Yes,Partly
Male,25 - 44,Employed,2,2 Hours and above,"Smart phones (Android,iOS,etc),Laptops,Others",facebook,Frequently,No,No,Prefer not to say,No,Prefer not to say,Check Newsfeed ,Yes,Partly
Female,25 - 44,Employed,3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc),Laptops,Others",Others,Occasionally,Yes,No,Prefer not to say,No,No,Check Newsfeed ,Yes,Partly
Female,25 - 44,Unemployed,More than 3,Less than 1 hour,"Smart phones (Android,iOS,etc),Laptops,Others",Others,Frequently,Yes,No,Yes,No,No,Chat,Yes,Partly
Male,25 - 44,Employed,2,Less than 1 hour,Laptops,Twitter,Frequently,Yes,Yes,Yes,Prefer not to say,No,Others,Yes,Greatly
Male,25 - 44,Employed,More than 3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Occasionally,Yes,No,Yes,No,No,Check Newsfeed ,Yes,Greatly
Male,25 - 44,Employed,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",facebook,Occasionally,No,No,No,No,Yes,Check Newsfeed ,No,Badly
Female,15 - 24,Unemployed,3,Less than 1 hour,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,Yes,Yes,Yes,No,Check Newsfeed ,Yes,Greatly
Female,25 - 44,Employed,3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,No,Yes,No,No,Check Newsfeed ,Yes,Greatly
Male,25 - 44,Employed,3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc),Laptops",facebook,Frequently,Yes,No,Yes,No,No,Check Newsfeed ,No,Others
Male,25 - 44,Employed,More than 3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)","facebook,Others",Occasionally,Yes,No,Yes,No,No,Check Newsfeed ,No,Partly
Female,25 - 44,Employed,3,Less than 1 hour,"Smart phones (Android,iOS,etc)",Others,Occasionally,Yes,No,No,No,No,Check Newsfeed ,No,Others
Male,25 - 44,Freelancer,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",facebook. Twitter,Occasionally,Yes,No,Prefer not to say,Yes,Yes,Check Newsfeed ,No,Partly
Male,25 - 44,Employed,More than 3,2 Hours and above,"Smart phones (Android,iOS,etc),Laptops",fcaebook,Frequently,Yes,No,Prefer not to say,Prefer not to say,No,Check Newsfeed,Yes,Greatly
Male,25 - 44,Employed,More than 3,Less than 1 hour,"Smart phones (Android,iOS,etc)",Instagram,Occasionally,Yes,Yes,Yes,No,No,Others,Yes,Greatly
Male,25 - 44,Employed,2,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Frequently,No,No,Yes,No,No,Check Newsfeed ,Yes,Partly
Male,25 - 44,Employed,More than 3,2 Hours and above,"Smart phones (Android,iOS,etc)",Instagram,Frequently,Yes,No,Yes,Yes,Prefer not to say,Others,Yes,Greatly
Male,25 - 44,Employed,3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Occasionally,No,No,No,No,No,"Check Newsfeed,Chat",No,Badly
Male,25 - 44,Employed,3,Less than 1 hour,"Smart phones (Android,iOS,etc)",Instagram,Frequently,Yes,Yes,Yes,Yes,No,Check Newsfeed ,Yes,Greatly
Male,25 - 44,Employed,More than 3,Less than 1 hour,"Smart phones (Android,iOS,etc)",Facebook,Frequently,Yes,Yes,Yes,No,No,Check Newsfeed ,Yes,Greatly
Male,25 - 44,Employed,3,2 Hours and above,"Smart phones (Android,iOS,etc)",Facebook,Occasionally,Yes,No,Yes,No,No,"Check Newsfeed,Chat",Yes,Partly
